epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.478,1.37229,1.7161,0.88771,0.81338,0.44238,0.49257,0.28045,1.18284,0.82854,0.84186,0.00332184,0.00332184,0.00332184
2,78.948,1.22906,0.85047,0.85812,0.80833,0.46931,0.51721,0.29961,1.08631,0.64563,0.83601,0.00658929,0.00658929,0.00658929
3,114.457,1.22972,0.7581,0.8604,0.83444,0.4855,0.54154,0.31754,1.0738,0.60131,0.8393,0.00979073,0.00979073,0.00979073
4,149.911,1.16253,0.65238,0.85248,0.83533,0.48299,0.55815,0.34014,1.02141,0.55638,0.83597,0.009703,0.009703,0.009703
5,185.521,1.09602,0.58573,0.84277,0.84086,0.52257,0.59433,0.3717,0.95932,0.52342,0.82565,0.009604,0.009604,0.009604
6,221.929,1.05002,0.54564,0.83786,0.83524,0.5187,0.58962,0.37423,0.94424,0.49788,0.82274,0.009505,0.009505,0.009505
7,257.654,1.02282,0.52494,0.83332,0.84757,0.52671,0.60556,0.38577,0.91507,0.47631,0.81958,0.009406,0.009406,0.009406
8,292.445,0.99373,0.50563,0.83134,0.86048,0.52846,0.60154,0.38527,0.89027,0.46643,0.81595,0.009307,0.009307,0.009307
9,327.197,0.97901,0.49227,0.82796,0.85981,0.54001,0.62683,0.40425,0.8872,0.44086,0.81523,0.009208,0.009208,0.009208
10,361.919,0.96056,0.48236,0.82567,0.86095,0.5397,0.63135,0.41566,0.86345,0.43364,0.81341,0.009109,0.009109,0.009109
11,396.696,0.9543,0.47827,0.82365,0.84987,0.54313,0.63015,0.41109,0.86855,0.43326,0.81272,0.00901,0.00901,0.00901
12,431.411,0.93374,0.466,0.82192,0.86371,0.54726,0.64437,0.42482,0.8365,0.42059,0.81006,0.008911,0.008911,0.008911
13,466.286,0.92855,0.46119,0.82257,0.86174,0.55083,0.64999,0.4333,0.83577,0.41496,0.80848,0.008812,0.008812,0.008812
14,500.917,0.92022,0.45624,0.82109,0.86795,0.55371,0.64436,0.42653,0.82038,0.40747,0.80714,0.008713,0.008713,0.008713
15,535.495,0.90923,0.44949,0.81997,0.85894,0.5477,0.64686,0.43276,0.8254,0.40746,0.80771,0.008614,0.008614,0.008614
16,570.381,0.89789,0.44138,0.81756,0.85864,0.55533,0.65149,0.43636,0.81205,0.39874,0.80635,0.008515,0.008515,0.008515
17,604.959,0.88846,0.43912,0.81825,0.87091,0.56033,0.65924,0.44041,0.81405,0.40239,0.80496,0.008416,0.008416,0.008416
18,639.767,0.88565,0.43762,0.81658,0.87193,0.56022,0.65501,0.4378,0.80412,0.39675,0.80396,0.008317,0.008317,0.008317
19,674.395,0.88447,0.4356,0.81553,0.86668,0.56684,0.66945,0.45273,0.79122,0.38856,0.80346,0.008218,0.008218,0.008218
20,709.3,0.87736,0.43072,0.81596,0.88035,0.56276,0.66522,0.44903,0.78989,0.3901,0.80357,0.008119,0.008119,0.008119
21,743.996,0.8705,0.42888,0.81438,0.87653,0.56636,0.66948,0.45144,0.79239,0.38553,0.80273,0.00802,0.00802,0.00802
22,778.501,0.85911,0.42343,0.81507,0.87531,0.5674,0.67908,0.46022,0.78962,0.38391,0.80201,0.007921,0.007921,0.007921
23,813.211,0.85662,0.4217,0.81228,0.87454,0.57509,0.68106,0.46596,0.77471,0.37911,0.80026,0.007822,0.007822,0.007822
24,848,0.84526,0.41579,0.81179,0.87915,0.56233,0.67005,0.454,0.79319,0.38033,0.80218,0.007723,0.007723,0.007723
25,882.749,0.84306,0.41439,0.81042,0.86615,0.56865,0.66954,0.45582,0.77789,0.37568,0.80062,0.007624,0.007624,0.007624
26,917.375,0.84067,0.4139,0.81092,0.88033,0.56952,0.6796,0.46608,0.7666,0.37101,0.7995,0.007525,0.007525,0.007525
27,952.037,0.83818,0.41083,0.81013,0.87724,0.57009,0.67687,0.46327,0.76568,0.37101,0.7989,0.007426,0.007426,0.007426
28,986.666,0.82941,0.40753,0.80949,0.87728,0.57341,0.68077,0.46828,0.75618,0.3684,0.79784,0.007327,0.007327,0.007327
29,1021.5,0.82847,0.40759,0.80987,0.87957,0.57147,0.68179,0.46844,0.75907,0.36545,0.79853,0.007228,0.007228,0.007228
30,1056.31,0.82172,0.40528,0.80831,0.87796,0.57519,0.68484,0.47222,0.75049,0.36026,0.79729,0.007129,0.007129,0.007129
31,1091.21,0.81837,0.4006,0.80767,0.88406,0.57449,0.68529,0.47269,0.74547,0.359,0.79733,0.00703,0.00703,0.00703
32,1125.88,0.81332,0.39983,0.80606,0.87872,0.58054,0.69146,0.4791,0.74335,0.35617,0.79707,0.006931,0.006931,0.006931
33,1160.5,0.81381,0.39901,0.80701,0.87942,0.58294,0.69138,0.47836,0.74268,0.35482,0.7967,0.006832,0.006832,0.006832
34,1195.19,0.80588,0.39441,0.80574,0.88373,0.57771,0.6868,0.47532,0.73722,0.35333,0.79579,0.006733,0.006733,0.006733
35,1229.98,0.80253,0.39303,0.80622,0.88209,0.57976,0.6929,0.48041,0.73409,0.35208,0.79526,0.006634,0.006634,0.006634
36,1264.69,0.8003,0.39162,0.80495,0.87702,0.58011,0.69281,0.48113,0.73805,0.35176,0.79573,0.006535,0.006535,0.006535
37,1299.46,0.79659,0.38962,0.80523,0.88665,0.57916,0.69148,0.47989,0.72982,0.34971,0.79479,0.006436,0.006436,0.006436
38,1334.18,0.79826,0.38936,0.80604,0.88825,0.5792,0.69395,0.482,0.72978,0.34657,0.79477,0.006337,0.006337,0.006337
39,1368.81,0.7949,0.38869,0.80508,0.88686,0.58259,0.69622,0.48462,0.72691,0.3459,0.79484,0.006238,0.006238,0.006238
