epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.464,1.19653,1.03345,0.87458,0.80699,0.47608,0.55154,0.34151,1.03893,0.53796,0.83001,0.00332184,0.00332184,0.00332184
2,99.9611,1.09438,0.56647,0.83826,0.8445,0.50899,0.57291,0.3502,0.92174,0.50761,0.8172,0.00658929,0.00658929,0.00658929
3,147.217,1.11724,0.56688,0.84178,0.82116,0.48632,0.5688,0.35261,1.04036,0.53566,0.83241,0.00979073,0.00979073,0.00979073
4,194.673,1.06201,0.53943,0.8366,0.86565,0.53588,0.61831,0.39321,0.90074,0.46309,0.81489,0.009703,0.009703,0.009703
5,242.414,1.00568,0.50172,0.82969,0.85542,0.53891,0.63398,0.40997,0.8776,0.43822,0.81307,0.009604,0.009604,0.009604
6,290.277,0.9572,0.47704,0.82539,0.87012,0.54341,0.6467,0.4187,0.882,0.43706,0.8128,0.009505,0.009505,0.009505
7,337.688,0.93315,0.4637,0.82126,0.8667,0.55227,0.65559,0.42986,0.84827,0.42057,0.81093,0.009406,0.009406,0.009406
8,385.239,0.90361,0.4462,0.8188,0.86002,0.56954,0.66946,0.44868,0.79096,0.40021,0.80464,0.009307,0.009307,0.009307
9,432.585,0.89059,0.43802,0.81819,0.87545,0.56625,0.66829,0.44947,0.80292,0.39408,0.80497,0.009208,0.009208,0.009208
10,480.122,0.87536,0.43114,0.81517,0.86975,0.56398,0.67067,0.45321,0.7857,0.38964,0.80398,0.009109,0.009109,0.009109
11,527.633,0.86737,0.42542,0.81305,0.86817,0.56429,0.66779,0.45156,0.78875,0.38697,0.80458,0.00901,0.00901,0.00901
12,575.076,0.85054,0.41663,0.81219,0.86733,0.57482,0.68513,0.46569,0.77935,0.37832,0.80309,0.008911,0.008911,0.008911
13,622.409,0.8466,0.41327,0.81323,0.86815,0.57733,0.68619,0.46864,0.76806,0.37426,0.80071,0.008812,0.008812,0.008812
14,669.911,0.83535,0.40695,0.81106,0.87432,0.5804,0.67872,0.46355,0.75275,0.36488,0.80007,0.008713,0.008713,0.008713
15,717.535,0.82644,0.40321,0.81073,0.87252,0.57535,0.6907,0.47521,0.75082,0.36269,0.79792,0.008614,0.008614,0.008614
16,764.969,0.81188,0.39469,0.80811,0.88474,0.58112,0.6905,0.47668,0.74184,0.35718,0.79792,0.008515,0.008515,0.008515
17,812.319,0.79937,0.39042,0.80914,0.87844,0.57876,0.69903,0.48515,0.7326,0.35167,0.7976,0.008416,0.008416,0.008416
18,859.682,0.79328,0.38657,0.80687,0.88701,0.58455,0.70744,0.49559,0.72332,0.35012,0.79578,0.008317,0.008317,0.008317
19,907.139,0.78869,0.38381,0.80618,0.87462,0.58867,0.70154,0.48766,0.7202,0.34744,0.7954,0.008218,0.008218,0.008218
20,954.498,0.78456,0.38097,0.8068,0.88039,0.5816,0.70344,0.49414,0.71282,0.34287,0.79514,0.008119,0.008119,0.008119
21,1002.05,0.77713,0.37889,0.80478,0.88695,0.58743,0.70959,0.50017,0.71194,0.33971,0.79484,0.00802,0.00802,0.00802
22,1049.63,0.77077,0.37475,0.80629,0.88245,0.58524,0.70437,0.49485,0.715,0.34015,0.79428,0.007921,0.007921,0.007921
23,1096.96,0.77114,0.37403,0.80416,0.8898,0.58702,0.70679,0.49629,0.70709,0.33811,0.79333,0.007822,0.007822,0.007822
24,1144.56,0.76039,0.36884,0.80366,0.8793,0.59028,0.70133,0.49237,0.70188,0.33287,0.79335,0.007723,0.007723,0.007723
25,1191.8,0.75848,0.3668,0.80235,0.87954,0.58742,0.7008,0.49027,0.70876,0.33158,0.79343,0.007624,0.007624,0.007624
26,1239.26,0.75579,0.3656,0.8029,0.88624,0.58744,0.70516,0.4974,0.69541,0.32805,0.79233,0.007525,0.007525,0.007525
27,1286.71,0.75433,0.36392,0.80252,0.88302,0.59147,0.70441,0.49833,0.69403,0.3276,0.79222,0.007426,0.007426,0.007426
28,1334.11,0.7457,0.36111,0.80161,0.89252,0.58861,0.71382,0.50752,0.69176,0.32421,0.7921,0.007327,0.007327,0.007327
29,1381.52,0.74299,0.35947,0.8013,0.88384,0.58858,0.70988,0.50567,0.68857,0.3239,0.79187,0.007228,0.007228,0.007228
30,1428.94,0.73968,0.35862,0.80073,0.88866,0.59014,0.71553,0.50804,0.68642,0.32214,0.79126,0.007129,0.007129,0.007129
31,1476.14,0.73721,0.35451,0.80029,0.88712,0.58985,0.71504,0.51143,0.67996,0.31966,0.79097,0.00703,0.00703,0.00703
32,1523.49,0.73089,0.35302,0.79864,0.88611,0.59631,0.72109,0.51409,0.67834,0.31749,0.79009,0.006931,0.006931,0.006931
33,1570.81,0.73136,0.35246,0.79922,0.88728,0.59455,0.71884,0.51432,0.68058,0.3165,0.79012,0.006832,0.006832,0.006832
34,1618.24,0.72403,0.34787,0.79832,0.89105,0.59393,0.71809,0.5154,0.67304,0.31415,0.78965,0.006733,0.006733,0.006733
35,1665.65,0.72091,0.34779,0.79878,0.88986,0.59474,0.71937,0.51724,0.67391,0.31207,0.78978,0.006634,0.006634,0.006634
36,1713.05,0.71652,0.34418,0.7974,0.89178,0.59584,0.72681,0.52308,0.67595,0.3124,0.78957,0.006535,0.006535,0.006535
37,1760.34,0.71428,0.34221,0.79798,0.88674,0.59433,0.72144,0.52,0.66783,0.30834,0.78906,0.006436,0.006436,0.006436
38,1807.1,0.71621,0.34417,0.79847,0.88758,0.59548,0.72135,0.52077,0.6708,0.30885,0.78905,0.006337,0.006337,0.006337
39,1854.72,0.71174,0.34198,0.79738,0.89053,0.59942,0.72459,0.52071,0.66985,0.30781,0.78844,0.006238,0.006238,0.006238
40,1901.64,0.71032,0.34028,0.79714,0.88754,0.59732,0.72349,0.52173,0.66486,0.30707,0.78858,0.006139,0.006139,0.006139
41,1949.13,0.70405,0.33761,0.79649,0.88294,0.59497,0.7191,0.5202,0.66623,0.30579,0.7884,0.00604,0.00604,0.00604
42,1996.58,0.70853,0.33945,0.79736,0.88801,0.60045,0.72751,0.52696,0.66004,0.30316,0.78804,0.005941,0.005941,0.005941
43,2044.22,0.70115,0.33461,0.79717,0.886,0.60107,0.73056,0.52978,0.66005,0.30176,0.78763,0.005842,0.005842,0.005842
44,2091.79,0.70165,0.33559,0.79712,0.89145,0.60099,0.72689,0.52682,0.65857,0.301,0.78779,0.005743,0.005743,0.005743
45,2139.13,0.69918,0.33458,0.79553,0.8918,0.59791,0.728,0.52838,0.65724,0.29984,0.78751,0.005644,0.005644,0.005644
46,2186.61,0.69543,0.33161,0.79524,0.89466,0.5974,0.73097,0.53165,0.65295,0.29935,0.78677,0.005545,0.005545,0.005545
47,2234.23,0.69367,0.33105,0.79561,0.89157,0.60059,0.72864,0.52998,0.65261,0.29831,0.78671,0.005446,0.005446,0.005446
48,2281.67,0.68943,0.32867,0.79497,0.8901,0.59897,0.72873,0.53163,0.65187,0.29673,0.78684,0.005347,0.005347,0.005347
49,2329.2,0.69132,0.32927,0.79457,0.88982,0.59972,0.72986,0.53094,0.65104,0.29572,0.78646,0.005248,0.005248,0.005248
50,2376.56,0.68822,0.32683,0.7939,0.89368,0.60009,0.73006,0.53161,0.64781,0.29355,0.78623,0.005149,0.005149,0.005149
51,2423.94,0.68508,0.32612,0.79414,0.89588,0.60095,0.73326,0.5349,0.64541,0.29312,0.78556,0.00505,0.00505,0.00505
52,2471.35,0.68176,0.32566,0.79456,0.89201,0.60347,0.73112,0.53392,0.64449,0.2922,0.78579,0.004951,0.004951,0.004951
53,2518.72,0.67955,0.32377,0.79396,0.88997,0.60044,0.72871,0.53274,0.64504,0.29148,0.78576,0.004852,0.004852,0.004852
